Date,Company,Method,in-house,copy-paste?,got basic detail wrong,wrong tech stack,Bullshit Level,dafuq,Name
"July 20, 2021",Apple,LinkedIn (DM),No,Yes,No,No,Low,,
"July 16, 2021",Beachbody,LinkedIn (DM),Yes,Yes,No,No,Moderate,I hope you and your loved ones are safe and healthy currently.,
"July 15, 2021",Vinli,LinkedIn (DM),Yes,Yes,No,Yes,Low,(two messages in 2 months),
"July 13, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Low,,
"July 13, 2021",<Our client>,Phone,No,No,No,No,Moderate,"(3 voicemails, also a linkedin req)",
"July 11, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,None,,
"July 8, 2021",Spiff,LinkedIn (DM),Yes,Yes,No,No,Moderate,,
"July 8, 2021",Copy.AI,LinkedIn (DM),No,Yes,No,No,High,I'm working directly with their founder,
"July 6, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Moderate,,
"July 6, 2021",<Open to opportunities?>,LinkedIn (Req),No,Yes,No,No,High,I periodically look for strong Software Engineers to connect with.,
"July 6, 2021",Rocket Loans,LinkedIn (Req),No,Yes,No,No,Low,,
"June 30, 2021",Amazon,LinkedIn (DM),Yes,Yes,No,No,Low,Amazon is interested in you!,
"June 29, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Low,,
"June 29, 2021",Bevy,LinkedIn (Req),Yes,Yes,No,No,Moderate,Hey There Rock Star,
"June 25, 2021",Graphiant,LinkedIn (DM),No,Yes,No,No,High,,
"June 24, 2021",<Open to opportunities?>,LinkedIn (DM),No,Yes,No,No,None,,
"June 22, 2021",<Our client>,LinkedIn (DM),No,Yes,Yes,No,Low,Wondering If you're looking for the opportunity for Front End Developer (REMOTE).,
"June 22, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Low,,
"June 21, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,High,Killer background.,
"June 21, 2021",Ticketmaster,LinkedIn (DM),No,Yes,No,No,Low,I work directly with the hiring manager to source resources,
"June 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,None,,
"June 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Low,"Looking for a strong Full Stack Engineer with extensive working experience with React , Redux, Material UI, HTML5, CSS, Jquery",
"June 21, 2021",<Our client>,LinkedIn (Req),Yes,Yes,No,No,Moderate,,
"June 18, 2021",ZURB,LinkedIn (DM),Yes,No,No,No,Moderate,It's like finding a unicorn in the wild!,
"June 15, 2021",EPAM,LinkedIn (DM),Yes,Yes,No,No,Low,(two messages in 5 days),
"June 15, 2021",Adobe,Email,No,Yes,No,No,Low,,
"June 14, 2021",Collibra,LinkedIn (DM),Yes,Yes,No,No,Moderate,We’re hiring aggressively,
"June 7, 2021",Postscript.io,LinkedIn (DM),Yes,Yes,No,No,Moderate,incredible perks,
"June 4, 2021",Reggora,LinkedIn (DM),Yes,Yes,No,No,Moderate,explosive growth,
"June 3, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,,
"June 2, 2021",Thirty Madison,LinkedIn (DM),No,Yes,No,No,Low,,
"May 27, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,High,I am working on an exclusive search,
"May 21, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,,
"May 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Low,,
"May 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Low,if you are looking for a job change please let me know,
"May 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,Yes,Low,,
"May 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,None,,
"May 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Low,,
"May 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,Low,,
"May 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,None,,
"May 21, 2021",<Our client>,LinkedIn (Req),No,Yes,No,No,High,,
"May 20, 2021",Walmart,LinkedIn (DM),No,Yes,No,No,Low,,
"May 19, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,High,Your experience looks a great match to be a thought leader here,
"May 18, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,"Interview Process:
-2 video rounds and then offer",
"May 18, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,High,,
"May 13, 2021",Checkr,LinkedIn (DM),Yes,Yes,No,No,High,,
"May 13, 2021",<Our client>,LinkedIn (DM),No,Yes,Yes,No,High,Our client is looking for a Senior React.JS/React Native Developer with a background/understanding in JavaScript and JQuery!!,
"May 12, 2021",<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,terrific opportunity for aggressive career advancement,
"May 12, 2021",Virtasant,LinkedIn (DM),Yes,Yes,No,No,Low,,
